job,work_type,job_details
Lead Back-end Developer,Remote,"About the job We are looking for .NET developers with strong AWS/Azure or Angular/react. We would be happy to consider your applications if you are willing to join EPAM Anywhere by 15 March 2023 inclusively. Applications with later onboarding dates will not be considered. We are looking for the candidates with 4+ years of experience. Are you a tech professional looking for remote work in a global setting? If yes, this job is for you. Welcome to EPAM Anywhere - a global job platform offering remote work opportunities in the technology sector. Join us to build a career around your lifestyle working on modern projects for global brands and exciting startups. Currently we are looking for a remote Lead Back-end Developer for a pharmaceutical company for our team. Our customer operates as a pharmaceutical company. The Company develops and produces medicines and other products across a range of areas including reproductive health, heart disease, dermatology, allergies, and asthma. The project is a new web application to display and manage different entities related to issues in supply-chain process. Responsibilities Creating a new web application to display and manage different entities related to issues in supply-chain process. Implementing Back-end part in AWS. Requirements 5+ years of experience in software development (.NET).Strong knowledge and experience with basic AWS services:S3LambdaRDS (SQL Server)CloudWatch, etc.English level proficiency B1 We offer Insurance Coverage Paid Leaves – including maternity, bereavement, paternity, and special COVID-19 leaves. Financial assistance for medical crisis Retiral Benefits – VPF and NPS Customized Mindfulness and Wellness programs EPAM Hobby ClubsHybrid Work Model Soft loans to set up workspace at home Stable workload Relocation opportunities with ‘EPAM without Borders’ programCertification trainings for technical and soft skills Access to unlimited LinkedIn Learning platform Access to internal learning programs set up by world class trainers Community networking and idea creation platforms Mentorship programs Self-driven career progression tool This is a remote position and we welcome applications from anywhere in India Once you apply, you'll receive a confirmation email with a link to EPAM Anywhere platform. Sign up with this link to automate your prescreening, be able to monitor your application statuses, and enjoy a faster job application process. We accept CVs only in English. Please note that even though you are applying for this position, you may be offered other projects to join within EPAM Anywhere. EPAM Anywhere is a part of EPAM Systems, Inc. (NYSE: EPAM). Since 1993, EPAM has leveraged its advanced software engineering heritage to become the foremost global digital transformation services provider."
Web CPS Affiliate Manager,On-site,"About the job Mobavenue is a growth & tech platform dedicated to empowering brands, agencies, and publishers with Martech & AdTech solutions to drive growth, engagement, and monetization. Their product suites are purpose-built for certain categories to drive brand performance. It aims to boost mobile and digital businesses success through full-stack programmatic products and services from supply-side to demand-side. These include an SSP, monetization platform, ad exchange, DSP, self-service advertiser platform, first party data platforms, a creative studio and automation platform. Mobavenue has partnered with 200+ direct brands across various Industries such as Fintech, BFSI, Ecommerce, OTT, D2C and Gaming . Job descriptionsalary - 8 LPA MaxExp 1+ YrsRoles and Responsibilities  Identify, recruit, manage and grow new publishers and affiliates around the globe with afocus on priority markets Managing multiple Affiliate accounts, analyzing their performance, potential and getting thebest out of them. Day to day management and optimization of campaigns for clients. Coordinating with content and technology team for delivery of fully integrated campaigns. Develop an understanding of affiliate’s queries and providing solutions. Generating weekly reports on the overall affiliate wise performance of the campaigns andoptimizing the same. Co-ordinating with sales /AM team to provide a smooth campaign delivery experience toclient. Requirements – Excellent research, analytical, presentation and communication (written and verbal) skills Minimum 1 year affiliate management experience in CPS web vertical (international ordomestic) Basic Knowledge of Internet advertising: CPA, CPM, CPV, CPS lead generation, etc. isrequired Location – Delhi /NCR( Moti Nager WFO)"
Senior Data Engineer,Hybrid,"About the job ATOS is Hiring for Senior Data Engineer Experience: 5-10 years Job Location: Pune, Mumbai, Bangalore, Chennai and Tirunelveli Job Description- Ø Good written and verbal communication skillsØ Minimum 3.5 years of experience in Data Engineer.Ø Preferably experienced in Celonis.Ø Data ingestion into EMS.Ø EMS administration - security, permissions, governance .Ø Data validation and processing.Ø SQL & PQL Engine .Ø Data Extraction.Ø Connect to Systems.Ø Data Integration.Ø Data Push & APIs.Ø Monitoring & Validating Data Pipelines.Ø Schedule Data Jobs.Ø Load Data Models.Ø Data Transformation.Ø Data Migration. Please share your CV at vineet.kumar@atos.net RegardsVineet Kumar"
Mean Stack Developer,,"About the job Mean Stack Developer ================================================ Interested candidates can share their updated resume at cv@rediansoftware.com or can directly reach out at 8750662156 | 9870629036 | 9868569382 Job Title: Mean Stack Developer Experience: 2-6 Years Location - Noida (WFO) Notice Period: Immediate - 20 Days Job Description: • Node JS, Express, Angular, Bootstrap/Material design, jQuery, CSS HTML5, OOPS concept • Basic knowledge of the Linux operating system, GIT, MySQL and MongoDB • Strong in Data Structure and Algorithms • Experience in Backend / Full-stack development is an added advantage. • Developing and implementing quality assurance procedures • Deploying software tools, processes, and metrics • Maintaining and upgrading existing systems • Maintain documentation of the software and code-base • Conduct reviews, and give feedback to team members. • Working closely with other developers, UX designers, Product Interested candidates can share their updated resume at cv@rediansoftware.com or can directly reach out at 8750662156 | 9870629036 | 9868569382 Website- www.rediansoftware.com"
Lead Campaign Operations Analyst,On-site,"About the job Company Description When you’re one of us, you get to run with the best. For decades, we’ve been helping marketers from the world’s top brands personalize experiences for millions of people with our cutting-edge technology, solutions and services. Epsilon’s best-in-class identity gives brands a clear, privacy-safe view of their customers, which they can use across our suite of digital media, messaging and loyalty solutions. We process 400+ billion consumer actions each day and hold many patents of proprietary technology, including real-time modeling languages and consumer privacy advancements. Thanks to the work of every employee, Epsilon India is now Great Place to Work-Certified™. Epsilon has also been consistently recognized as industry-leading by Forrester, Adweek and the MRC. Positioned at the core of Publicis Groupe, Epsilon is a global company with more than 8,000 employees around the world. For more information, visit epsilon.com/apac or our LinkedIn page. Job Description Why are we looking for you As a Lead Campaign Operations Analyst, you will manage a team of Campaign Operations employees, advising and guiding the team to ensure that campaigns are executed as documented in the campaign ticket request and validated with high quality standards based on a defined launch QA checklist. You will help to ensure that team members are trained on all processes and tools. You will work alongside team members to monitoring the ticketing queue, assign tickets and execute ticket requests. You will monitor the daily capacity of the team and manage priorities to ensure that all ticket requests can be executed or communicate with Account Management to find compromises. You will actively partner with other teams to provide support for troubleshooting issues and define preventative measures. What You Will Enjoy In This Role Collaborating with team members to ensure that we are implementing the best campaign strategy for our clientsManaging team capacity by leveraging your time and process management skills to efficiently execute the workloadConduct rigorous troubleshooting to identify the root case and preventative measures for campaign issuesDefining new processes or updating existing process to drive efficiency through automation and other innovative tactics What You Will Do Manage a team of Campaign Operations Analysts and Campaign Quality Assurance Analysts, monitoring workload assignment and providing guidance for complex campaignsImplement strategies for digital media campaigns, including campaign settings and creative traffickingVerify campaign details and functionality in both test and post-production environments to ensure accuracy of digital media implementation, alert applicable teams of any anomalies or errors, and initiate the process to fix any detected issuesCollaborate with external teams to create and update launch best practices, ticket requirements, and campaign execution processesServe as an escalation point for team members and external teams to resolve campaign prioritization and team capacity issuesDrive automation and enhancements to increase efficiency with process, tools and platforms to enable Campaign Operations to implement campaigns with less effort and increased accuracyMonitor quality metrics and capacity metrics to identify trends and work with team leaders to address issues Qualifications A graduate/postgraduate in any discipline5 years of experience with digital media or experience in ad operations/ad trafficking roleMust be able to multitask in a fast-paced ticketing system environmentPrevious experience with 3rd Party Ad Servers (DV360, Atlas, Sizmek, etc.), a plusDemonstrated leadership ability with a hands-on approach / involvement in day-to-day operationsDemonstrated track record of strategic thinking, sound decision making and working cross-functionallyProven track record of managing or mentoring / developing junior level employeesProven track record of independently handling/resolving complex situationsDemonstrated poise, maturity, and professionalism dealing with individuals at higher levels of the organizationStrong presentation, writing, and communication skills with particular attention to precision of language and the ability to organize information succinctly and logicallyDemonstrated ongoing commitment to personal development with emphasis in leadership, business acumen, expanding influence, creating a leadership brand, and sharpening political savvy"
Pre-sales Executive,On-site,"About the job Roles And Responsibilities Specific responsibilities include: Lead and architect large strategic deals, both for Reactive and Proactive opportunities Understand the competition landscape and arrive at win strategy and value proposition Work with the Wipro ecosystem to come up with the best-in-class solution approved by delivery Optimize the pricing to make it attractive for customers- value to win Lead the solution review calls with Wipro senior leadership Lead solution defence during final client presentations Prepare compliance check list for RFP's and coordinate with writers and other teammembers/stakeholders to get the sections ready Support content development activities and develop exec summary, value proposition for theresponses Provide writing and editorial review of content for messaging, usability, and readability, including synthesizing content brought together from multiple sources Providing oversight to Presales team on ongoing activities along with leading critical pre-sales threads. Key Competencies & Required Qualifications: Minimum of 1year experience Understanding and experience in value-based selling Experience in solutioning for and enabling sale of IT/ITES (mandatory) Experience in IT Industry In-depth knowledge around Business Process & IT Transformation concepts Strong verbal and written English communication skills. Must have creative mindset towards articulating the solution via presentations and demonstrations. Proficiency with Microsoft Office Suite, especially Word and PowerPoint"
Data Engineer,Hybrid,"About the job Experience: 2 to 5 Years Skills: SQL, DBT, Airflow, Python, Golang, PostgreSQL, Clickhouse, BigQuery, Kafka/RabbitMQ, Data Scraping, System Design, ETLs, REST Work Location: Gurgaon/Bangalore/Remote We are seeking an experienced Analytics Engineer to join our team. The ideal candidate will have a strong background in Python, SQL, dbt, Airflow, and core database concepts. As an Analytics Engineer, you will be responsible for managing our data infrastructure, which includes building and maintaining robust API integrations with third-party data providers, designing and implementing data pipelines that run on schedule, and working with business, product, and engineering teams to deliver high-quality data products. Key Responsibilities: Design, build, and maintain robust API integrations with third-party data providersDevelop and maintain data pipelines using Python, dbt, and AirflowCollaborate with business, product, and engineering teams to deliver high-quality data productsMonitor and optimize data pipelines to ensure they run on schedule and with high performanceStay up-to-date with the latest developments in data infrastructure and analytics technologiesTroubleshoot and resolve data pipeline and integration issues as they arise Qualifications: Strong experience with SQL, dbt, Airflow, and core database conceptsExperience with building and maintaining API integrations with third-party data providersExperience with designing and implementing data pipelinesStrong problem-solving and analytical skillsExcellent communication and collaboration skillsExperience with big data warehouses like BigQuery, Redshift, or ClickhouseExperience with data visualization and analysis tools such as Metabase, Tableau or Power BI is a plusFamiliarity with cloud platforms such as AWS or GCP is a plusIf you are passionate about data infrastructure and analytics and are excited about the opportunity to work with a talented team to deliver high-quality data products, we want to hear from you! Apply now to join our team as an Analytics Engineer."
Cyber Assurance Manager,On-site,"About the job Company Description Tesco Bengaluru: We are a multi-disciplinary team creating a sustainable competitive advantage for Tesco by standardising processes, delivering cost savings, enabling agility, providing cutting-edge technological solutions and empowering our colleagues to do ever more for our customers. With cross-functional expertise in Global Business Services and Retail Technology & Engineering, a wide network of teams and strong governance we reduce complexity thereby offering high quality services for our customers. Tesco Bengaluru, established in 2004 to enable standardisation and build centralised capabilities and competencies, makes the experience better for our millions of customers worldwide and simpler for over 4,40,000 colleagues. Tesco Technology consists of people from a number of different backgrounds, but having a common purpose to serve our shoppers a little better every day with our retail technological solutions. We shared a common interest in harnessing innovations in technology to enhance their shopping experience at Tesco stores. Whether making products, software or systems, our teams focuses on various aspects from taking strategic ownership of the architecture to delivering technological solutions such as design, testing, deployment, infrastructure, operation and security of the systems to ensure agile, smooth and safe operations. These help us to deliver the maximum business impact. Teams refine their internal processes to best fit their own needs, working to build core capabilities in application and services. We collaborate globally across teams to build end-to-end customer-facing solutions, as well as to share knowledge, experience, tools and techniques. At Tesco, inclusion means that Everyone’s Welcome. Everyone is treated fairly and with respect; by valuing individuality and uniqueness we create a sense of belonging. Diversity and inclusion have always been at the heart of Tesco. It is embedded in our values: we treat people how they want to be treated. We always want our colleagues to feel they can be themselves at work and we are committed to helping them be at their best. Across the Tesco group we are building an inclusive workplace, a place to actively celebrate the cultures, personalities and preferences of our colleagues – who in turn help to build the success of our business and reflect the diversity of the communities we serve. Job Description Cyber Assurance Manager Lead, plan and conduct cyber risk assessments for the Group and its subsidiaries, providing recommendations where applicable Maintain the cyber risk register to ensure risks and mitigations remain relevant and up to date Monitor compliance with key controls and track status of next steps, reporting on progress to Technology senior management and key stakeholders Support the refinement of the cyber risk management and assurance framework Support Technology colleagues with queries relating to cyber risk management and control design/implementation Skills: Critical thinking with strong attention to detail and good organisational skills Strong written, verbal communication and presentation skills, working with all levels of seniority and disciplines within the organisation Able to build solid working relationships with peers as well as internal and external stakeholders At least one professional qualification such as CISA, CISM, CISSP or equivalent Additional Information Important Notice: On behalf of Tesco Bengaluru, we must caution all job seekers and educational institutions that Tesco Bengaluru does not authorise any third parties to release employment offers or conduct recruitment drives via a third party. Hence, beware of inauthentic and fraudulent job offers or recruitment drives from any individuals or websites purporting to represent Tesco. Further, Tesco Bengaluru does not charge any fee or other emoluments for any reason (including without limitation, visa fees) or seek compensation from educational institutions to participate in recruitment events. Accordingly, please check the authenticity of any such offers before acting on them and where acted upon, you do so at your own risk. Tesco Bengaluru shall neither be responsible for honouring or making good the promises made by fraudulent third parties, nor for any monetary or any other loss incurred by the aggrieved individual or educational institution. In the event that you come across any fraudulent activities in the name of Tesco Bengaluru, please feel free report the incident at recruitment_compliance_india@tesco.com"
Web Developer,On-site,About the job Must be in a position to develop both front and backend. Must have latest website developing tools
Medical Review Associate,On-site,"About the job Job Title - Medical Review AssociateJob Location – Hyderabad- Financial DistrictShift Timing – permanent Night Shift (6 pm-3 am) Job Description SummaryThe Medical Review Associate performs moderately complex tasks characterized by the identification of specific data in the medical records pursuant to the assigned protocols. Such evidence may include legal documents and various forms of medical records which are analysed, applied to the protocol standards, and documented in the pre-defined project specific database. Job Description Medical Record Review (MRR) team is responsible for reviewing medical records submitted by class members and documenting the evidence in accordance with the program-specific protocols.· Medical Review Associate performs moderately complex tasks characterized by identification of specific data in the medical records pursuant to the assigned protocols. Such evidence may include legal documents and various forms of medical records which are analyzed, applied to the protocol standards, and documented in the pre-defined project-specific database.· Highly skilled individuals with an advanced ability to comprehensively review the medical records and extract the pertinent information needed to reflect data specific to each claimant is essential in this role.· Attention to detail is vital to accurately identify data in the records submitted in support of each claimant's case.· This data will directly impact each claimant's eligibility status in the enrolled settlement program, therefore, accuracy with this process is vital to ensure that the outcome for each case results in the claimant receiving the designated award value for their alleged injuries.· MRR delivers customized reporting to our clients to provide an overall summary of the inventory of their cases and individually for each claimant. Key Responsibilities for The Job and Percentage of Time Spent· Complete the training process specific to the assigned project 50%· Comprehensively review all medical record types and apply to program-specific protocols 15% Accurately and efficiently document evidence findings into software applications in accordance with program protocols 10%· Work as a team member to meet critical weekly and monthly deadlines 10%· Meet the metrics for quality standards for assigned projects 5%· Demonstrate flexibility for cross-training to other projects as needed 5% Independently manage caseload and meet production metrics.Minimum Requirements Indicate the Qualifications Needed to Complete the Essential Job Functions · Education: RN, LPN, or Paralegal· Work Experience: 2-5 years experience in an extensive review of various medical record types.· May also possess experience with mass tort, personal injury, disability, worker's compensation and HEDIS reviews. Skills & Abilities:· Ability to understand and interpret the content of various medical record types.· Specific experience with review and comprehension of the following record types: Oncology Consultations/Treatment Records, Retail Pharmacy Records, Pathology Reports, Diagnostic Tests, Operative Reports, and Hospital Records.· Strong analytical, critical thinking, research, problem-solving, and writing skills with high attention to detail.· Proficient in Microsoft applications (Outlook, Word, Excel) with fluent typing and data entry skills. Effective time management skills and the ability to shift priorities as required are essential.· Successful completion of Case Study assessment."
Cluster Lead,On-site,"About the job Location: Gurgaon/Delhi/Hyderabad About Urban Company Urban Company is a technology platform offering customers a variety of services at home. Customers use our platform to book services such as beauty treatments, haircuts, massage therapy, cleaning, plumbing, carpentry, appliance repair, painting etc., all delivered in the comfort of their home and at a time of their choosing. We promise our customers a high quality, standardized and reliable service experience. To fulfill this promise, we work closely with our hand-picked service partners, enabling them with technology, training, products, tools, financing, insurance, and brand, helping them succeed and deliver on this promise. Urban Company started out as UrbanClap in Nov 2014, when its founders, Abhiraj, Raghav and Varun realized that the home services industry was predominantly unorganized, fragmented and offline. Customers found it difficult to avail quality services in a convenient manner, and service professionals were struggling to make ends meet, having to rely upon several middlemen, contractors, and local aggregators. The founders felt that the industry was ripe for disruption, and launched Urban Company, with three key principles in mind - Customer love: Build a platform that offers truly delightful and differentiated servicesPartner empowerment: Build a deep, full-stack partnership with service partners, helping improve their earnings and overall livelihoodTechnology first: Bring innovation and technology to an age-old industry As of May 2022, Urban Company had a presence in 56 cities across India, Singapore, UAE, The Kingdom of Saudi Arabia and the USA. Since inception, the platform has delivered 36 million bookings to customers, and a highly trained fleet of 40,000+ service professionals. Today, Urban Company offers 50+ different types of home and beauty services through its mobile applications and website. “Our Mission is to empower millions of service professionals by delivering services at-home in a way that has never been experienced before.” Service partners are the backbone of our platform. Our service partners are typically individual professionals working in one service category. We operate a full-stack platform to help them succeed and provide the following -Training & CertificationTechnologySupplies and productsInsurance and Financing supportMarket access and brand Scale of Operations and Growth Outlook Urban Company is present in the top 47 cities in India, and 9 cities internationally. The platform serves approximately 1.5 million+ customer bookings every month through a fleet of 40,000 highly trained service professionals, for a variety of home service needs. The business is growing rapidly at >75% YoY, and has demonstrated significant resilience in the last two years despite the COVID-19 pandemic (Urban Company was awarded The Economic Times Startup Award for COVID led business transformation in 2021, read more here). The company has raised significant growth capital last year, which is still untouched and sitting in the bank, and has a very clear path to profitability for its India business over the next few quarters. Its frugal approach and years of secured runaway allows the UC team to build with a multi-year horizon in mind, while focusing on growth with profitability. Our Commitment to Building a Diverse and Inclusive Workplace Urban Company is committed to providing equal opportunities in employment and creating an inclusive work environment. We endeavor to –provide equal and fair opportunities for employment to all qualified applicants.maintain a work environment free from harassment based on age, colour, physical ability, marital status, parental status, ethnic origin, religion, sexual orientation, or gender identity. About the Role & Team Our business is executed by small high powered teams for each sub-vertical handling allaspects of business for a cluster of 3-4 cities. This team is led by a Cluster Lead. The rightindividual should have a combination of sharp analytical decision making, sound businessjudgement, robust result driven execution and creative iterative business buildingA Cluster Lead would typically oversee a team of 7-8 Senior Category Managers, CategoryManagers, and Trainers and be responsible for all aspects of operations of 1,000-2,000 UCpartners. What you’ll do: Independently own and build all aspects of UC’s business across your vertical -building the supply chain across selection, training and onboarding of professionals; daily operations; quality of service; user growth and expansionGrow the marketplace while optimizing multiple opposing factors like service availability and supply utilization; scaling user growth while improving operational excellence and quality of serviceBuild, coach and lead a high performance team across business development, skill training and growthCollaborate across multiple central teams including functional specialists and business category teams to ensure coherence and other regional teams to share/learn best practicesDrive user growth through local marketing initiatives, partnerships as well as localizing the offering/pricing for your market In a nutshell the Cluster Lead is expected to completely own and drive the business, theteam and make all decisions for the city cluster. If being a lynchpin of an organization andbusiness excites you, we’d love to meet you and talk more. What we’ll need: 4-6 years of experience in a high growth operations based startup, FMCG or other consumer companies, or consultingHigh sense of ownership and a penchant for excellencePrior experience in operations or category management a bonus What we’d love: We’re looking for extremely strong first-principles problem solvers, who have a maker / builder within them and want to bring to life consumer insights to revolutionize the service industry What can you expect: A great work environment with massive ownership and growth opportunities.Work closely with the founding and the leadership team on key projects.Execute highly scalable applications & implement best.Latest tools and technology to get things done provided by the companyHealth insurance benefits for our employees and their familyGrowth opportunities within UC via our robust internal mobility programCompetitive salary with bi-annual performance reviews"
